Objects
300
,,Global Angle Robot_1:Robot_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
83,0,-0.006586,-0.017056,0.007385,228.087189,-1250.390137,178.218750
84,0,-0.006568,-0.016980,0.007404,228.084335,-1250.387695,178.224457
85,0,-0.006464,-0.016679,0.007532,228.088562,-1250.378296,178.216232
86,0,-0.006404,-0.016954,0.007436,228.082901,-1250.379517,178.211288
87,0,-0.006544,-0.016609,0.007420,228.080978,-1250.384277,178.216156
88,0,-0.006363,-0.017024,0.007395,228.088577,-1250.381348,178.211380
89,0,-0.006481,-0.016688,0.007409,228.082214,-1250.386719,178.214691
90,0,-0.006508,-0.016742,0.007374,228.083862,-1250.389648,178.223434
91,0,-0.006448,-0.016542,0.007505,228.089035,-1250.393311,178.219421
92,0,-0.006359,-0.016693,0.007417,228.077896,-1250.387085,178.225769
93,0,-0.006532,-0.016795,0.007433,228.092239,-1250.398193,178.229950
94,0,-0.006317,-0.016876,0.007385,228.084167,-1250.386108,178.217987
95,0,-0.006598,-0.016704,0.007403,228.090118,-1250.396240,178.224106
96,0,-0.006431,-0.016639,0.007422,228.087830,-1250.390625,178.231140
97,0,-0.006401,-0.016471,0.007519,228.088470,-1250.402344,178.233917
98,0,-0.006386,-0.016748,0.007556,228.082016,-1250.381714,178.212021
99,0,-0.006465,-0.016554,0.007440,228.078766,-1250.379028,178.218353
100,0,-0.006557,-0.017198,0.007376,228.080460,-1250.388672,178.227921
101,0,-0.006498,-0.016885,0.007383,228.094055,-1250.395752,178.219284
102,0,-0.006458,-0.016833,0.007486,228.083084,-1250.392456,178.221436
103,0,-0.006492,-0.016616,0.007459,228.082718,-1250.394653,178.229919
104,0,-0.006597,-0.016797,0.007406,228.080688,-1250.400757,178.225677
105,0,-0.006647,-0.016909,0.007327,228.085968,-1250.387085,178.227402
106,0,-0.006436,-0.016588,0.007394,228.075470,-1250.384033,178.213745
107,0,-0.006497,-0.016855,0.007461,228.080597,-1250.389160,178.218842
108,0,-0.006518,-0.016830,0.007441,228.084412,-1250.399170,178.225830
109,0,-0.006489,-0.016766,0.007560,228.084808,-1250.397217,178.233643
110,0,-0.006630,-0.016554,0.007502,228.086563,-1250.384766,178.226563
111,0,-0.006458,-0.016726,0.007523,228.091888,-1250.394165,178.228058
112,0,-0.006449,-0.016988,0.007392,228.082870,-1250.396729,178.230896
113,0,-0.006449,-0.016793,0.007519,228.080841,-1250.389160,178.228165
114,0,-0.006470,-0.016475,0.007547,228.082764,-1250.400635,178.216873
115,0,-0.006409,-0.016618,0.007428,228.088928,-1250.384644,178.207474
116,0,-0.006463,-0.016370,0.007534,228.085190,-1250.395020,178.225143
117,0,-0.006414,-0.016682,0.007494,228.085083,-1250.387329,178.217117
118,0,-0.006454,-0.016812,0.007413,228.083023,-1250.384888,178.219940
119,0,-0.006423,-0.016743,0.007300,228.089493,-1250.394165,178.225494
120,0,-0.006440,-0.016435,0.007674,228.085342,-1250.390381,178.215515
121,0,-0.006619,-0.016844,0.007369,228.099899,-1250.400513,178.243073
122,0,-0.006398,-0.016721,0.007506,228.092224,-1250.385010,178.207001
123,0,-0.006595,-0.016836,0.007494,228.087616,-1250.393921,178.218063
124,0,-0.006402,-0.016558,0.007453,228.084351,-1250.383301,178.215530
125,0,-0.006568,-0.016821,0.007413,228.087662,-1250.382202,178.211868
126,0,-0.006580,-0.016971,0.007541,228.094696,-1250.388672,178.210251
127,0,-0.006654,-0.016622,0.007535,228.081696,-1250.391235,178.227554
128,0,-0.006491,-0.016958,0.007665,228.090118,-1250.397705,178.220200
129,0,-0.006436,-0.016989,0.007333,228.093201,-1250.382202,178.223801
130,0,-0.006595,-0.017025,0.007443,228.088821,-1250.390747,178.224319
131,0,-0.006477,-0.017043,0.007392,228.086227,-1250.394897,178.235016
132,0,-0.006461,-0.016686,0.007444,228.096222,-1250.399292,178.228714
133,0,-0.006382,-0.016663,0.007522,228.088272,-1250.390503,178.224030
134,0,-0.006495,-0.016967,0.007349,228.096298,-1250.391113,178.218597
135,0,-0.006459,-0.016834,0.007463,228.083008,-1250.394775,178.227325
136,0,-0.006418,-0.016767,0.007559,228.090225,-1250.385864,178.213379
137,0,-0.006599,-0.017050,0.007416,228.090805,-1250.398193,178.223862
138,0,-0.006460,-0.016782,0.007585,228.092941,-1250.381104,178.223785
139,0,-0.006519,-0.016926,0.007554,228.080704,-1250.399780,178.242477
140,0,-0.006411,-0.016761,0.007568,228.096756,-1250.392456,178.224411
141,0,-0.006468,-0.016442,0.007434,228.094666,-1250.399780,178.228699
142,0,-0.006449,-0.016666,0.007527,228.094955,-1250.396606,178.216446
143,0,-0.006498,-0.016884,0.007445,228.077271,-1250.387939,178.211319
144,0,-0.006543,-0.016715,0.007583,228.087646,-1250.406006,178.220917
145,0,-0.006496,-0.016602,0.007592,228.090836,-1250.391113,178.212296
146,0,-0.006526,-0.016725,0.007440,228.090378,-1250.398193,178.237686
147,0,-0.006485,-0.017026,0.007408,228.093781,-1250.392212,178.216385
148,0,-0.006588,-0.016890,0.007349,228.090439,-1250.391968,178.223007
149,0,-0.006579,-0.017117,0.007453,228.085678,-1250.412842,178.233124
150,0,-0.006486,-0.016795,0.007432,228.089294,-1250.392334,178.212677
151,0,-0.006398,-0.016703,0.007540,228.084381,-1250.385620,178.222107
152,0,-0.006549,-0.016574,0.007470,228.081421,-1250.409058,178.233124
153,0,-0.006534,-0.016886,0.007477,228.088333,-1250.395508,178.215271
154,0,-0.006512,-0.016727,0.007523,228.088470,-1250.403442,178.221832
155,0,-0.006439,-0.016674,0.007469,228.082947,-1250.395874,178.216461
156,0,-0.006476,-0.016886,0.007502,228.094437,-1250.387695,178.219421
157,0,-0.006565,-0.016760,0.007518,228.092468,-1250.397827,178.224228
158,0,-0.006506,-0.016548,0.007556,228.088928,-1250.397095,178.234421
159,0,-0.006611,-0.016907,0.007314,228.091553,-1250.394165,178.222153
160,0,-0.006461,-0.016851,0.007435,228.091888,-1250.399902,178.212234
161,0,-0.006514,-0.016805,0.007402,228.098694,-1250.401123,178.232101
162,0,-0.006538,-0.016758,0.007420,228.086151,-1250.407227,178.227264
163,0,-0.006399,-0.016736,0.007447,228.087723,-1250.394287,178.216141
164,0,-0.006500,-0.016484,0.007445,228.091675,-1250.391357,178.212326
165,0,-0.006456,-0.016917,0.007370,228.087006,-1250.388306,178.212997
166,0,-0.006493,-0.017022,0.007438,228.099396,-1250.397095,178.216888
167,0,-0.006587,-0.016581,0.007399,228.092316,-1250.401978,178.223770
168,0,-0.006434,-0.016413,0.007538,228.088104,-1250.407104,178.219315
169,0,-0.006531,-0.016768,0.007400,228.099197,-1250.408325,178.224045
170,0,-0.006446,-0.016724,0.007443,228.096375,-1250.416260,178.227753
171,0,-0.006478,-0.016896,0.007438,228.087830,-1250.394653,178.207153
172,0,-0.006512,-0.016599,0.007524,228.090729,-1250.403687,178.221939
173,0,-0.006603,-0.016719,0.007514,228.099487,-1250.391968,178.215271
174,0,-0.006512,-0.016488,0.007560,228.095169,-1250.412231,178.237625
175,0,-0.006457,-0.016757,0.007384,228.096191,-1250.408203,178.242279
176,0,-0.006562,-0.016904,0.007373,228.092194,-1250.416748,178.238647
177,0,-0.006438,-0.016385,0.007612,228.094513,-1250.406616,178.215530
178,0,-0.006581,-0.016393,0.007576,228.097443,-1250.398071,178.219849
179,0,-0.006551,-0.016909,0.007419,228.097580,-1250.402466,178.219070
180,0,-0.006574,-0.016903,0.007374,228.095932,-1250.403320,178.221390
181,0,-0.006509,-0.016699,0.007464,228.099579,-1250.395508,178.216293
182,0,-0.006606,-0.016829,0.007467,228.092529,-1250.407104,178.236008
183,0,-0.006479,-0.016943,0.007414,228.089447,-1250.407104,178.223679
184,0,-0.006595,-0.017050,0.007438,228.101059,-1250.392944,178.200623
185,0,-0.006456,-0.016639,0.007476,228.093567,-1250.405762,178.221100
186,0,-0.006641,-0.016689,0.007491,228.089661,-1250.402588,178.230164
187,0,-0.006473,-0.017185,0.007459,228.097443,-1250.395508,178.217789
188,0,-0.006473,-0.016533,0.007514,228.092682,-1250.395508,178.222458
189,0,-0.006438,-0.016927,0.007381,228.094559,-1250.401978,178.234665
190,0,-0.006480,-0.016569,0.007494,228.101288,-1250.397827,178.214218
191,0,-0.006486,-0.017053,0.007423,228.090942,-1250.405884,178.217255
192,0,-0.006293,-0.016740,0.007354,228.101501,-1250.400513,178.214111
193,0,-0.006543,-0.016779,0.007526,228.087479,-1250.403076,178.224976
194,0,-0.006639,-0.016964,0.007282,228.097260,-1250.387451,178.206741
195,0,-0.006575,-0.016835,0.007386,228.100540,-1250.398560,178.219788
196,0,-0.006471,-0.016645,0.007391,228.092590,-1250.392822,178.218414
197,0,-0.006611,-0.016746,0.007447,228.081802,-1250.407471,178.225647
198,0,-0.006463,-0.016728,0.007408,228.104630,-1250.396118,178.221832
199,0,-0.006571,-0.016884,0.007458,228.093704,-1250.398682,178.226074
200,0,-0.006604,-0.016695,0.007484,228.092834,-1250.404419,178.224457
201,0,-0.006573,-0.016859,0.007554,228.091507,-1250.400391,178.215973
202,0,-0.006446,-0.017073,0.007512,228.095337,-1250.401245,178.221161
203,0,-0.006475,-0.016779,0.007458,228.079071,-1250.413452,178.228088
204,0,-0.006499,-0.016795,0.007407,228.090927,-1250.407227,178.216614
205,0,-0.006606,-0.016351,0.007651,228.095703,-1250.398315,178.216553
206,0,-0.006586,-0.016616,0.007537,228.097855,-1250.394653,178.216171
207,0,-0.006490,-0.016843,0.007442,228.084732,-1250.415649,178.231308
208,0,-0.006589,-0.016798,0.007438,228.091690,-1250.402100,178.218765
209,0,-0.006394,-0.017126,0.007477,228.095383,-1250.405884,178.227585
210,0,-0.006445,-0.016562,0.007516,228.092255,-1250.401367,178.214050
211,0,-0.006459,-0.016650,0.007576,228.092880,-1250.405396,178.229919
212,0,-0.006576,-0.016732,0.007468,228.100250,-1250.394287,178.212097
213,0,-0.006540,-0.016891,0.007506,228.093689,-1250.399536,178.214874
214,0,-0.006610,-0.016582,0.007523,228.099106,-1250.402832,178.230820
215,0,-0.006640,-0.016612,0.007433,228.102356,-1250.392090,178.215683
216,0,-0.006719,-0.016845,0.007430,228.095825,-1250.387451,178.202301
217,0,-0.006533,-0.016737,0.007366,228.096481,-1250.405884,178.226227
218,0,-0.006444,-0.017195,0.007482,228.095947,-1250.390015,178.209869
219,0,-0.006667,-0.016743,0.007485,228.086594,-1250.403076,178.233887
220,0,-0.006399,-0.016761,0.007512,228.096771,-1250.395996,178.220413
221,0,-0.006698,-0.016643,0.007441,228.090240,-1250.399902,178.225235
222,0,-0.006637,-0.016773,0.007459,228.085236,-1250.396240,178.220413
223,0,-0.006534,-0.016648,0.007498,228.096527,-1250.406860,178.237320
224,0,-0.006480,-0.016848,0.007398,228.087570,-1250.395874,178.228836
225,0,-0.006459,-0.016528,0.007589,228.086533,-1250.392212,178.209259
226,0,-0.006406,-0.016808,0.007534,228.092819,-1250.391602,178.230621
227,0,-0.006531,-0.016845,0.007524,228.086899,-1250.400879,178.235992
228,0,-0.006468,-0.016848,0.007428,228.089188,-1250.394287,178.226318
229,0,-0.006474,-0.016990,0.007385,228.089920,-1250.375977,178.215332
230,0,-0.006538,-0.016583,0.007466,228.083893,-1250.404663,178.223038
231,0,-0.006544,-0.016957,0.007432,228.084991,-1250.400879,178.227600
232,0,-0.006442,-0.016944,0.007531,228.087616,-1250.382568,178.204849
233,0,-0.006539,-0.016754,0.007429,228.096191,-1250.398560,178.224930
234,0,-0.006550,-0.016923,0.007580,228.092377,-1250.395386,178.220276
235,0,-0.006613,-0.016763,0.007462,228.095291,-1250.389038,178.213501
236,0,-0.006498,-0.016711,0.007532,228.092911,-1250.387939,178.209732
237,0,-0.006616,-0.016702,0.007549,228.082275,-1250.398682,178.209473
238,0,-0.006484,-0.016852,0.007367,228.093231,-1250.401611,178.226578
239,0,-0.006506,-0.016668,0.007558,228.093063,-1250.394287,178.216019
